Timestamp,I have read and understood the Data Privacy Notice above and voluntarily consent to participate in this study.,Student ID Number,1. Sex,2. Program,"Please answer the statements under Cognitive Preparation. [I am good at organizing my coding notes, snippets, and laboratory exercises to make my review more efficient.]",Please answer the statements under Cognitive Preparation. [I create my own programming examples or practice problems to make the information more meaningful.],Please answer the statements under Cognitive Preparation. [I draw flowcharts or diagrams to help me visualize the program logic while I am studying.],Please answer the statements under Cognitive Preparation. [I try to translate complex coding syntax or technical terms into my own words to ensure I understand them.],Please answer the statements under Metacognitive Monitoring. [I find myself pausing regularly while reviewing code to check if I actually understand the program flow.],Please answer the statements under Metacognitive Monitoring. [I ask myself questions about how well I am doing while I am learning a new programming concept.],"Please answer the statements under Metacognitive Monitoring. [I analyze the usefulness of my study strategies (e.g., manual tracing vs. watching tutorials) while I am preparing.]",Please answer the statements under Metacognitive Monitoring. [I consider several alternative logic structures or ways to solve a problem before I settle on a final answer.],Please answer the statements under Planning and Time Management. [I pace myself while reviewing modules to ensure I have enough time for the actual coding practice.],"Please answer the statements under Planning and Time Management. [I set specific study goals (e.g., mastering Arrays or OOP) before I begin my review session.]",Please answer the statements under Planning and Time Management. [I think about what I really need to learn or master before I begin a specific review task.],Please answer the statements under Planning and Time Management. [I organize my study time in a way that best accomplishes my goals for the programming exam.],Please answer the statements under Readiness Evaluation. [I am a good judge of how well I understand a programming topic before the exam begins.],Please answer the statements under Readiness Evaluation. [I understand my intellectual strengths and weaknesses regarding specific programming languages or topics.],Please answer the statements under Readiness Evaluation. [I ask myself how well I accomplished my study goals once I have finished my review session.],Please answer the statements under Readiness Evaluation. [I ask myself if there was an easier or more efficient way to solve a coding problem after I finish a practice task.],3. What was your PRIMARY method of preparation for the Intermediate Programming 2 Prelim Exam?
4/2/2026 20:01:54,I understand and voluntarily consent to participate,25-0925,Male,BSCS,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,4 - Agree,2 - Disagree,5 - Strongly Agree,5 - Strongly Agree,2 - Disagree,3 - Neutral,Did not prepare
4/2/2026 20:04:30,I understand and voluntarily consent to participate,25-2807,Female,BSCS,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,"Traditional (notes, books, review sessions only)"
4/2/2026 20:04:54,I do not understand - I prefer not to participate,24-0916,Prefer not to say,BSCS,2 - Disagree,1 - Strongly Disagree,5 - Strongly Agree,5 - Strongly Agree,3 - Neutral,3 - Neutral,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,5 - Strongly Agree,AI-Assisted (primarily used AI tools)
4/2/2026 23:51:17,I understand and voluntarily consent to participate,25-2548,Male,BSCS,3 - Neutral,2 - Disagree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,Hybrid (combined traditional methods with AI tools)
4/4/2026 8:00:03,I understand and voluntarily consent to participate,25-0889,Male,BSCS,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 14:42:00,I understand and voluntarily consent to participate,24-1618,Female,BSDSA,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 16:24:34,I understand and voluntarily consent to participate,25-0721,Male,BSDSA,3 - Neutral,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 19:28:57,I understand and voluntarily consent to participate,25-2816,Female,BSDSA,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,5 - Strongly Agree,4 - Agree,4 - Agree,"Traditional (notes, books, review sessions only)"
4/13/2026 20:42:24,I understand and voluntarily consent to participate,25-2809,Male,BSDSA,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 21:12:11,I understand and voluntarily consent to participate,25-0780,Female,BSDSA,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,"Traditional (notes, books, review sessions only)"
4/14/2026 20:34:53,I understand and voluntarily consent to participate,25-2547,Female,BSCS,3 - Neutral,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,4 - Agree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/14/2026 20:34:57,I understand and voluntarily consent to participate,25-0914,Male,BSCS,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,3 - Neutral,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/14/2026 20:34:58,I understand and voluntarily consent to participate,25-0901,Female,BSCS,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/14/2026 21:15:45,I understand and voluntarily consent to participate,25-0899,Male,BSCS,3 - Neutral,3 - Neutral,1 - Strongly Disagree,3 - Neutral,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,1 - Strongly Disagree,5 - Strongly Agree,3 - Neutral,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/14/2026 21:21:47,I understand and voluntarily consent to participate,25-0897,Male,BSCS,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,AI-Assisted (primarily used AI tools)
4/14/2026 21:23:16,I understand and voluntarily consent to participate,25-0907,Male,BSCS,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/15/2026 20:33:55,I understand and voluntarily consent to participate,25-0903,Female,BSCS,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/18/2026 16:41:00,I understand and voluntarily consent to participate,25-0900,Male,BSCS,5 - Strongly Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,3 - Neutral,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,"Traditional (notes, books, review sessions only)"
4/18/2026 17:40:35,I understand and voluntarily consent to participate,25-2806,Female,BSCS,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,5 - Strongly Agree,3 - Neutral,5 - Strongly Agree,4 - Agree,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Agree,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/18/2026 18:34:22,I understand and voluntarily consent to participate,25-0921,Female,BSCS,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,AI-Assisted (primarily used AI tools)
4/18/2026 19:48:12,I understand and voluntarily consent to participate,25-0894,Male,BSCS,2 - Disagree,4 - Agree,2 - Disagree,5 - Strongly Agree,3 - Neutral,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly Agree,2 - Disagree,5 - Strongly Agree,5 - Strongly Agree,2 - Disagree,5 - Strongly Agree,Did not prepare
4/19/2026 22:01:15,I understand and voluntarily consent to participate,25-0774,Male,BSDSA,2 - Disagree,2 - Disagree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,4 - Agree,3 - Neutral,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,Did not prepare
4/19/2026 22:03:45,I understand and voluntarily consent to participate,25-2811,Female,BSDSA,3 - Neutral,3 - Neutral,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,"Traditional (notes, books, review sessions only)"
4/19/2026 23:58:28,I understand and voluntarily consent to participate,25-0779,Female,BSDSA,5 - Strongly Agree,3 - Neutral,3 - Neutral,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,3 - Neutral,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/20/2026 0:10:26,I understand and voluntarily consent to participate,25-0888,Male,BSDSA,4 - Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,AI-Assisted (primarily used AI tools)
4/20/2026 08:07:43,I understand and voluntarily consent to participate,24-1141,Female,BSDSA,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,"Traditional (notes, books, review sessions only)"
4/20/2026 09:26:18,I understand and voluntarily consent to participate,25-0776,Male,BSDSA,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,"Traditional (notes, books, review sessions only)"
4/20/2026 10:54:02,I understand and voluntarily consent to participate,25-2813,Female,BSDSA,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,Did not prepare
4/20/2026 12:41:37,I understand and voluntarily consent to participate,25-2899,Male,BSDSA,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,AI-Assisted (primarily used AI tools)
4/20/2026 15:03:25,I understand and voluntarily consent to participate,25-2815,Female,BSDSA,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,"Traditional (notes, books, review sessions only)"
4/20/2026 18:22:49,I understand and voluntarily consent to participate,25-0781,Male,BSDSA,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,"Traditional (notes, books, review sessions only)"
4/21/2026 08:11:27,I understand and voluntarily consent to participate,25-0890,Female,BSCS,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,2 - Disagree,4 - Agree,5 - Strongly Agree,3 - Neutral,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/21/2026 09:48:05,I understand and voluntarily consent to participate,25-0892,Male,BSCS,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,AI-Assisted (primarily used AI tools)
4/21/2026 11:22:41,I understand and voluntarily consent to participate,25-2198,Female,BSCS,2 - Disagree,3 - Neutral,2 - Disagree,4 - Agree,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,3 - Neutral,1 - Strongly Disagree,3 - Neutral,Did not prepare
4/21/2026 14:37:52,I understand and voluntarily consent to participate,25-2805,Male,BSCS,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,"Traditional (notes, books, review sessions only)"
4/21/2026 16:19:08,I understand and voluntarily consent to participate,25-0902,Female,BSCS,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/21/2026 18:54:33,I understand and voluntarily consent to participate,25-0905,Male,BSCS,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,3 - Neutral,4 - Agree,AI-Assisted (primarily used AI tools)
4/21/2026 20:17:11,I understand and voluntarily consent to participate,25-0906,Female,BSCS,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/22/2026 07:26:48,I understand and voluntarily consent to participate,25-0913,Male,BSCS,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,"Traditional (notes, books, review sessions only)"
4/22/2026 09:03:57,I understand and voluntarily consent to participate,25-0918,Male,BSCS,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,AI-Assisted (primarily used AI tools)
4/22/2026 11:41:20,I understand and voluntarily consent to participate,25-0923,Female,BSCS,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,4 - Agree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,4 - Agree,3 - Neutral,2 - Disagree,Did not prepare
4/22/2026 14:28:14,I understand and voluntarily consent to participate,25-2810,Female,BSDSA,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,"Traditional (notes, books, review sessions only)"
4/22/2026 17:05:39,I understand and voluntarily consent to participate,25-2812,Female,BSDSA,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/22/2026 19:44:06,I understand and voluntarily consent to participate,25-2814,Female,BSDSA,3 - Neutral,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,2 - Disagree,4 - Agree,3 - Neutral,3 - Neutral,2 - Disagree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,2 - Disagree,Did not prepare
4/22/2026 21:56:18,I understand and voluntarily consent to participate,25-2817,Male,BSDSA,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,AI-Assisted (primarily used AI tools)
4/23/2026 08:14:49,I understand and voluntarily consent to participate,25-2978,Female,BSDSA,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,4 - Agree,3 - Neutral,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,2 - Disagree,Did not prepare
4/23/2026 10:52:02,I understand and voluntarily consent to participate,25-2819,Male,BSDSA,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,3 - Neutral,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,4 - Agree,5 - Strongly Agree,AI-Assisted (primarily used AI tools)
4/23/2026 13:31:45,I understand and voluntarily consent to participate,25-2820,Female,BSDSA,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,3 - Neutral,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/23/2026 16:08:27,I understand and voluntarily consent to participate,25-2821,Male,BSDSA,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,2 - Disagree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,"Traditional (notes, books, review sessions only)"
4/23/2026 18:43:10,I understand and voluntarily consent to participate,25-2822,Female,BSDSA,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,AI-Assisted (primarily used AI tools)
4/23/2026 21:17:36,I understand and voluntarily consent to participate,25-3119,Male,BSDSA,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,Did not prepare
